"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ ОНИКС ЦЕНТРИО ДЕНИМ БЛУ","024726","78","3.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ ОНИКС ЦЕНТРИО СКАЙ БЛУ","024727","78","3.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ КАРБОН КОР НЕОН","024746","78","3.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕСО СВИНСКО БР.МАНОЛОВИ ЗА ГОТВЕНЕ ОХЛ/160/","031935","22","6.35",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ФИЛЕ ПИЛЕШКО БР.МАНОЛОВИ НАТУРАЛНО ПЕПЕРУДА /51/","031936","16","8.84",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БУТ ПИЛЕШКИ Л.ПИЛЕ С ЧАСТ ОТ ГЪРБА ГС***","032347","17","3.88",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,СИРЕНЕ КРАВЕ КИСЕЛОВО****","040002","8","7.41",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШУНКА КЕН 300ГР","040057","27","3.01",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КОЛБАС КАМЧИЯ НАРОДЕН 300ГР","040416","27","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КОЛБАС ТЕЛЕШКИ НАРОДЕН 300ГР","040417","27","1.89",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЛИОНСКА НАДЕНИЦА КЕН 390ГР","040432","27","3.27",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СИРЕНЕ КРАВЕ ТЕРТЕР 350ГР ВАКУУМ****","040535","9","3.68",""
